X,Y,OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1266657.98398185,244527.441710457,3460,622441,16,10496,18,24,BKR-3484,BKR,FREMONT AVE N 0437 BLOCK W SIDE (   5) 5 FT N/O N 44TH ST                                                                                                                                                                                                      ,ONST,6,Y,GALV,AC,2015/01/27 00:00:00+00, , , , ,GOOD,2015/01/27 00:00:00+00,W,SDOT,INSVC,DISTRICT6, ,N,,-122.350124305963,47.6602639835997
1282924.08646251,261369.630271703,3461,626772,16,6346,148,-17,BKR-3500,BKR,40TH AVE NE 1050 BLOCK E SIDE ( 135) 100 FT S/O NE 109TH ST                                                                                                                                                                                                    ,SGL,8,N,GALV,AC/PCC,2015/03/04 00:00:00+00,SUFMT, , ,BKR-W4508,GOOD,2015/03/04 00:00:00+00,E,SDOT,INSVC,DISTRICT5, ,N,,-122.285418584647,47.7072880895591
1273944.51512532,204014.066436961,3462,519142,16,8694,200,-27,BKR-754,BKR,AIRPORT WAY S 0590 BLOCK SW SIDE ( 177) 18 FT NW/O S NEBRASKA ST                                                                                                                                                                                               ,SGL,2,N,GALV,PCC,2009/03/18 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/08/05 00:00:00+00,SW,SDOT,INSVC,DISTRICT2, ,N,,-122.317391278206,47.5496075424855
1269295.98545656,228250.656861782,3463,517639,16,13529,190,64,BKR-897,BKR,WESTLAKE AVE 0202 BLOCK W SIDE (  99) 99 FT N/O 7TH AVE                                                                                                                                                                                                        ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,2009/07/17 00:00:00+00,W,SDOT,INSVC,DISTRICT7, ,N,,-122.338130029045,47.6157919466634
1270719.33393802,223353.963608772,3464,518481,16,11050,142,-27,BKR-1456,BKR,JAMES ST 0020 BLOCK SE SIDE ( 114) 114 FT NE/O 2ND AVE                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,2019/03/15 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,2019/03/15 00:00:00+00,SE,SDOT,INSVC,DISTRICT7, ,N,,-122.331973587596,47.6024464082387
1276982.79660043,231420.930465028,3465,516924,16,2659,171,-24,BKR-1499,BKR,19TH AVE E 0060 BLOCK E SIDE ( 141) 96 FT S/O E ROY ST                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/07/22 00:00:00+00,E,SDOT,INSVC,DISTRICT3, ,N,,-122.307215896406,47.6248893952368
1280166.48991568,231275.126688883,3466,518576,16,14364,259,-27,BKR-618,BKR,E MADISON ST 0290 BLOCK SE SIDE ( 239) 239 FT NE/O 29TH E AVE E                                                                                                                                                                                                ,SGL,2,N,GALV,PCC,2002/12/05 00:00:00+00,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,2009/08/19 00:00:00+00,SE,SDOT,INSVC,DISTRICT3, ,N,,-122.294296525681,47.6246561666044
1274601.64990999,250024.278196082,3467,591422,16,17261,93,-30,BKR-3179,BKR,NE 65TH ST 0090 BLOCK S SIDE (  80) 80 FT E/O 9TH AVE NE                                                                                                                                                                                                       ,SGL,2,N,GALV,PCC,2012/11/30 00:00:00+00,SUFMT, ,SDOT,BKR-RLRCK,GOOD,2012/10/20 00:00:00+00,S,SDOT,INSVC,DISTRICT4, ,N,,-122.318325732404,47.6757553121833
1272605.69854794,251098.675509185,3468,517918,16,14083,73,-35,BKR-837,BKR,EAST GREEN LAKE WAY N 0690 BLOCK SE SIDE (  56) 56 FT NE/O 4TH AVE NE                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,2009/03/23 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/07/30 00:00:00+00,SE,SDOT,INSVC,DISTRICT6, ,N,,-122.326510698797,47.6785943314626
1274608.377334,231254.806304857,3469,649219,16,14482,236,17,BKR-3756,BKR,E MERCER ST 0110 BLOCK N SIDE ( 223) 10 FT W/O 12TH AVE E                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,2016/04/25 00:00:00+00,SUFMT, , ,BKR-INVRU,GOOD,2016/05/02 00:00:00+00,N, ,INSVC,DISTRICT3, ,N,,-122.316829837138,47.6243089832562
